time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-04-25 21:00:00,2021-04-26 00:00:00,3.6,-3.2,61,0,,260,7,,1010.5,,2
2021-04-25 22:00:00,2021-04-26 01:00:00,2.5,-4,62,0,,244,6,,1010.5,,2
2021-04-25 23:00:00,2021-04-26 02:00:00,2.1,-3.8,65,0,,245,6,,1010.7,,2
2021-04-26 00:00:00,2021-04-26 03:00:00,2.4,-2.7,69,0,,250,4,,1010.9,,2
2021-04-26 01:00:00,2021-04-26 04:00:00,1.4,-3.5,70,0,,245,6,,1011,,2
2021-04-26 02:00:00,2021-04-26 05:00:00,1.2,-3.5,71,0,,243,4,,1011.2,,2
2021-04-26 03:00:00,2021-04-26 06:00:00,1.8,-2.9,71,0,,270,7,,1011.6,,2
2021-04-26 04:00:00,2021-04-26 07:00:00,2.7,-2.8,67,0,,249,6,,1011.4,,1
2021-04-26 05:00:00,2021-04-26 08:00:00,3.8,-2.8,62,0,,249,6,,1011.5,,1
2021-04-26 06:00:00,2021-04-26 09:00:00,5.2,-2.4,58,0,,260,7,,1012,,2
2021-04-26 07:00:00,2021-04-26 10:00:00,5.8,-3.6,51,0,,250,7,,1011.9,,2
2021-04-26 08:00:00,2021-04-26 11:00:00,6.6,-3.9,47,0,,251,7,,1012.1,,2
2021-04-26 09:00:00,2021-04-26 12:00:00,8.2,-4,42,0,,260,7,,1012.2,,3
2021-04-26 10:00:00,2021-04-26 13:00:00,7.7,-4.4,42,0,,259,6,,1012.5,,3
2021-04-26 11:00:00,2021-04-26 14:00:00,8.1,-4.4,41,0,,255,6,,1012.3,,3
2021-04-26 12:00:00,2021-04-26 15:00:00,8.1,-4,42,0,,230,7,,1012.6,,3
2021-04-26 13:00:00,2021-04-26 16:00:00,8.3,-4.5,40,0,,251,6,,1011.8,,3
2021-04-26 14:00:00,2021-04-26 17:00:00,8.1,-4.4,41,0,,252,6,,1011.4,,3
2021-04-26 15:00:00,2021-04-26 18:00:00,8.1,-5.7,37,0,,260,4,,1011.6,,3
2021-04-26 16:00:00,2021-04-26 19:00:00,6.9,-3.4,48,0,,252,4,,1011.1,,3
2021-04-26 17:00:00,2021-04-26 20:00:00,5.9,-2.7,54,0,,249,2,,1011.2,,3
2021-04-26 18:00:00,2021-04-26 21:00:00,5.2,-3.4,54,0,,0,0,,1011.7,,2
2021-04-26 19:00:00,2021-04-26 22:00:00,4.1,-1.9,65,0,,215,0,,1011.1,,2
2021-04-26 20:00:00,2021-04-26 23:00:00,3.4,-1.7,69,0,,243,0,,1010.8,,2
2021-04-26 21:00:00,2021-04-27 00:00:00,3.4,-1.9,68,0,,0,0,,1010.9,,3
2021-04-26 22:00:00,2021-04-27 01:00:00,2.8,-2.1,70,0,,248,0,,1010.9,,3
2021-04-26 23:00:00,2021-04-27 02:00:00,2.4,-1.8,74,0,,303,0,,1010.5,,3
2021-04-27 00:00:00,2021-04-27 03:00:00,3.1,-1.3,73,0,,0,0,,1009.3,,7
2021-04-27 01:00:00,2021-04-27 04:00:00,1.8,-0.9,82,0,,308,0,,1009.6,,12
2021-04-27 02:00:00,2021-04-27 05:00:00,1.6,-0.6,85,0,,334,0,,1009.2,,12
2021-04-27 03:00:00,2021-04-27 06:00:00,4,0.2,76,0,,150,4,,1008.8,,12
2021-04-27 04:00:00,2021-04-27 07:00:00,2.5,-0.6,80,0,,342,2,,1008.4,,12
2021-04-27 05:00:00,2021-04-27 08:00:00,3.3,-0.7,75,0,,345,4,,1008.3,,12
2021-04-27 06:00:00,2021-04-27 09:00:00,3.1,0.3,82,0,,20,7,,1008,,19
2021-04-27 07:00:00,2021-04-27 10:00:00,4.5,-1.1,67,1.3,,337,4,,1007.8,,19
2021-04-27 08:00:00,2021-04-27 11:00:00,4.8,-1.4,64,0,,327,4,,1007.4,,18
2021-04-27 09:00:00,2021-04-27 12:00:00,1.9,1,94,0.1,,320,4,,1007.7,,18
2021-04-27 10:00:00,2021-04-27 13:00:00,4.4,-1.2,67,0.1,,325,6,,1007.2,,8
2021-04-27 11:00:00,2021-04-27 14:00:00,4.5,-1.1,67,0.3,,317,6,,1007.1,,18
2021-04-27 12:00:00,2021-04-27 15:00:00,3,1.7,91,0.4,,310,7,,1007.3,,20
2021-04-27 13:00:00,2021-04-27 16:00:00,4.6,-0.8,68,0,,305,6,,1006.9,,18
2021-04-27 14:00:00,2021-04-27 17:00:00,4.6,-0.8,68,0,,302,4,,1006.9,,18
2021-04-27 15:00:00,2021-04-27 18:00:00,2.8,1.8,93,0,,300,4,,1007.2,,18
2021-04-27 16:00:00,2021-04-27 19:00:00,3.7,1.4,85,0.7,,283,4,,1006.9,,7
2021-04-27 17:00:00,2021-04-27 20:00:00,3.7,1.2,84,0.5,,275,4,,1007,,7
2021-04-27 18:00:00,2021-04-27 21:00:00,2.7,1.8,94,0.4,,0,0,,1007.6,,18
2021-04-27 19:00:00,2021-04-27 22:00:00,3.5,1.1,84,0,,268,4,,1007.4,,17
2021-04-27 20:00:00,2021-04-27 23:00:00,3.4,1,84,0,,269,4,,1007.7,,4
2021-04-27 21:00:00,2021-04-28 00:00:00,3.3,2,91,0,,260,4,,1007.8,,4
2021-04-27 22:00:00,2021-04-28 01:00:00,2.8,0.5,85,0,,271,4,,1008.6,,7
2021-04-27 23:00:00,2021-04-28 02:00:00,2.8,0.5,85,0,,276,4,,1009,,7
2021-04-28 00:00:00,2021-04-28 03:00:00,3.4,0.3,80,0,,290,4,,1009.6,,7
2021-04-28 01:00:00,2021-04-28 04:00:00,2.6,0.2,84,0,,281,4,,1009.9,,4
2021-04-28 02:00:00,2021-04-28 05:00:00,2.5,0.1,84,0,,281,4,,1010.5,,4
2021-04-28 03:00:00,2021-04-28 06:00:00,1.8,-0.5,85,0,,260,4,,1011.1,,3
2021-04-28 04:00:00,2021-04-28 07:00:00,3.7,-0.3,75,0,,285,4,,1011.5,,4
2021-04-28 05:00:00,2021-04-28 08:00:00,4.7,-0.3,70,0,,283,6,,1012,,4
2021-04-28 06:00:00,2021-04-28 09:00:00,5.3,0.7,72,0,,260,7,,1012.5,,3
2021-04-28 07:00:00,2021-04-28 10:00:00,6.2,-0.5,62,0,,279,6,,1012.8,,3
2021-04-28 08:00:00,2021-04-28 11:00:00,6.7,-0.5,60,0,,277,6,,1013.1,,3
2021-04-28 09:00:00,2021-04-28 12:00:00,6.6,-0.6,60,0,,250,4,,1013.7,,4
2021-04-28 10:00:00,2021-04-28 13:00:00,7.5,-0.5,57,0,,269,6,,1013.8,,4
2021-04-28 11:00:00,2021-04-28 14:00:00,8,-0.5,55,0,,264,6,,1013.9,,4
2021-04-28 12:00:00,2021-04-28 15:00:00,8.6,0.3,56,0,,220,4,,1014,,4
2021-04-28 13:00:00,2021-04-28 16:00:00,8.5,-0.3,54,0,,261,6,,1013.9,,4
2021-04-28 14:00:00,2021-04-28 17:00:00,8.3,-0.2,55,0,,262,6,,1013.9,,3
2021-04-28 15:00:00,2021-04-28 18:00:00,5.1,2.8,85,0,,270,7,,1015,,3
2021-04-28 16:00:00,2021-04-28 19:00:00,7.2,0.6,63,0,,260,4,,1014.5,,4
2021-04-28 17:00:00,2021-04-28 20:00:00,6.4,0.7,67,0,,261,4,,1015,,4
2021-04-28 18:00:00,2021-04-28 21:00:00,5.1,3.3,88,0,,290,4,,1015.6,,3
2021-04-28 19:00:00,2021-04-28 22:00:00,5.1,0.8,74,0,,263,2,,1016,,3
2021-04-28 20:00:00,2021-04-28 23:00:00,4.6,0.7,76,0,,263,2,,1016.6,,3
2021-04-28 21:00:00,2021-04-29 00:00:00,4.5,2.4,86,0,,260,4,,1016.8,,3
2021-04-28 22:00:00,2021-04-29 01:00:00,3.5,1.4,86,0,,273,2,,1017.1,,4
2021-04-28 23:00:00,2021-04-29 02:00:00,2.9,1,87,0,,272,2,,1017.7,,3
